CustomerID,LookalikeID,SimilarityScore
C0001,C0191,0.9456659972710266
C0001,C0107,0.9641690971679809
C0001,C0152,0.9995103764905028
C0001,C0137,0.9997616475513846
C0002,C0187,0.9330226466430889
C0002,C0171,0.9387564178572098
C0002,C0158,0.9711446209691191
C0002,C0168,0.978264001321209
C0003,C0111,0.961936676891598
C0003,C0121,0.9758346484079298
C0003,C0009,0.9807961382416003
C0003,C0199,0.9923026397421746
C0004,C0062,0.9552508669407361
C0004,C0009,0.9615398807230746
C0004,C0060,0.9756975141606177
C0004,C0198,0.9889759898914686
C0005,C0028,0.8904704810597641
C0005,C0143,0.9374958194515685
C0005,C0045,0.938694631424901
C0005,C0136,0.9739289643466053
C0006,C0083,0.9806376167577927
C0006,C0032,0.9813844059285817
C0006,C0031,0.9823592789671766
C0006,C0077,0.9843121639383412
C0007,C0189,0.9286693503994602
C0007,C0030,0.940253111053496
C0007,C0157,0.956079123844235
C0007,C0094,0.9788713351248212
C0008,C0151,0.9683568355953214
C0008,C0025,0.9813844059285817
C0008,C0077,0.9986821125626967
C0008,C0083,0.9999627172254535
C0009,C0131,0.9047610985423327
C0009,C0125,0.9423936815040013
C0009,C0020,0.9474090450742292
C0009,C0176,0.9976354817260416
C0010,C0173,0.9387239650961958
C0010,C0054,0.9786251567420864
C0010,C0028,0.9873442940218148
C0010,C0143,0.9999805330058151
C0011,C0139,0.9120930447666893
C0011,C0116,0.9330270559147648
C0011,C0098,0.9731812514229466
C0011,C0047,0.9843965391674475
C0012,C0141,0.9280960351644185
C0012,C0045,0.9786251567420864
C0012,C0028,0.9795091039804388
C0012,C0143,0.9796007709652934
C0013,C0063,0.9785787839550272
C0013,C0197,0.9808163962142756
C0013,C0167,0.9874714380838309
C0013,C0073,0.9972220022281042
C0014,C0156,0.9704717328175417
C0014,C0046,0.9751909531799455
C0014,C0122,0.9817857577942252
C0014,C0065,0.9839856803696534
C0015,C0127,0.9122379501145379
C0015,C0103,0.9660861622260956
C0015,C0164,0.9851763508425119
C0015,C0086,0.9960453416646343
C0016,C0077,0.9684806323680448
C0016,C0151,0.9685070752367776
C0016,C0192,0.9736106811346213
C0016,C0031,0.9750372824606354
C0017,C0192,0.9396934721177913
C0017,C0174,0.9450728159433235
C0017,C0031,0.9457046431140259
C0017,C0025,0.9546450619342682
C0018,C0175,0.9215214670938666
C0018,C0090,0.9503748822889273
C0018,C0093,0.9648776623311822
C0018,C0162,0.9677084477970032
C0019,C0196,0.849791434493244
C0019,C0066,0.9645577561388607
C0019,C0074,0.9766232555163455
C0019,C0044,0.9835580791285127
C0020,C0071,0.9103676755056813
C0020,C0112,0.9842476410766486
C0020,C0150,0.9909760038612168
C0020,C0130,0.9930948704564155
